benchmark,capacitor,status,compilation_time_ms,execution_time_us,run_attempts
aes,10uF,ok,1505,104208.34,1
crc,10uF,ok,754,29731.2,1
rsa,10uF,ok,1235,44194.47,1
dijkstra,10uF,ok,745,223243.68,1
qsort,10uF,ok,753,1044364.16,1
activity_recognition,10uF,ok,3247,33693.67,1
bitcount,10uF,ok,1377,4428974.03,1
chacha20,10uF,ok,1575,50808.39,1
sensor_fusion,10uF,ok,970,25134.98,1
poly1305,10uF,ok,1083,475324.33,1
cuckoo_filter,10uF,ok,726,42792.49,1
sha256,10uF,ok,1451,90023.65,1
stringsearch,10uF,ok,699,36199.28,1
