benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_recovery_boots,result
activity_recognition,board,1,ok,3,39,716,8.6,202806.12,,0,64
activity_recognition,board,2,ok,3,39,716,15.52,2524837.19,,0,64
activity_recognition,board,3,ok,3,39,716,26.9,179350.99,,0,64
activity_recognition,board,4,ok,3,39,716,20.5,1539344.35,,0,64
activity_recognition,board,5,ok,3,39,716,13.21,276730.8,,0,64
activity_recognition,board,6,ok,3,39,716,6.32,337664.66,,0,64
activity_recognition,board,7,ok,3,39,716,4.75,190332.63,,0,64
activity_recognition,board,8,ok,3,39,716,22.1,855125.74,,0,64
activity_recognition,board,9,ok,3,39,716,23.55,7250180.21,,2,64
activity_recognition,board,10,ok,3,39,716,5.09,190385.1,,0,64
