benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
activity_recognition,board,1,ok,8,20,0,4.78,2736150.77,2576701.08,47,1,,49,1,64
activity_recognition,board,2,ok,8,20,0,6.98,4483566.14,4324075.65,64,1,,66,1,64
activity_recognition,board,3,ok,8,20,0,8.0,4056380.49,3896776.74,108,1,,110,1,64
activity_recognition,board,4,ok,8,20,0,21.61,19127260.8,18967726.07,89,0,,90,0,64
activity_recognition,board,5,ok,8,20,0,14.9,12464805.86,12305302.36,59,4,,64,4,64
activity_recognition,board,6,ok,8,20,0,7.67,5828039.78,5668545.83,62,1,,64,1,64
activity_recognition,board,7,ok,8,20,0,11.69,10027816.82,9868314.33,61,0,,62,0,64
activity_recognition,board,8,ok,8,20,0,17.21,14619806.11,14460245.1,81,9,,92,9,64
activity_recognition,board,9,ok,8,20,0,16.18,13384105.98,13224597.49,59,0,,60,0,64
activity_recognition,board,10,ok,8,20,0,13.58,11860629.75,11701133.84,51,9,,61,9,64
