benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
activity_recognition,board,1,ok,6,25,631,4.73,2655013.74,,45,1,64
activity_recognition,board,2,ok,6,25,631,4.43,1948145.54,,53,0,64
activity_recognition,board,3,ok,6,25,631,5.19,1282079.03,,87,0,64
activity_recognition,board,4,ok,6,25,631,16.41,13912610.16,,62,0,64
activity_recognition,board,5,ok,6,25,631,13.71,11155722.05,,56,3,64
activity_recognition,board,6,ok,6,25,631,6.5,4624458.03,,51,1,64
activity_recognition,board,7,ok,6,25,631,10.51,8827147.91,,56,0,64
activity_recognition,board,8,ok,6,25,631,12.79,10124198.94,,75,6,64
activity_recognition,board,9,ok,6,25,631,13.66,10896334.1,,51,0,64
activity_recognition,board,10,ok,6,25,631,9.79,8027771.99,,50,6,64
