benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
activity_recognition,board,1,ok,3,1,1310,2.28,180769.26,141478.39,13,0,,14,0,64
activity_recognition,board,2,ok,3,1,1310,3.18,645011.06,605715.18,15,0,,16,0,64
activity_recognition,board,3,ok,3,1,1310,4.18,258584.99,219281.03,20,0,,21,0,64
activity_recognition,board,4,ok,3,1,1310,5.98,3449093.97,3409796.94,17,0,,18,0,64
activity_recognition,board,5,ok,3,1,1310,5.69,3129336.38,3090036.2,16,1,,18,1,64
activity_recognition,board,6,ok,3,1,1310,2.8,1095998.1,1056699.35,17,0,,18,0,64
activity_recognition,board,7,ok,3,1,1310,4.78,3038113.82,2998815.84,16,0,,17,0,64
activity_recognition,board,8,ok,3,1,1310,5.0,2338786.43,2299481.27,18,1,,21,1,64
activity_recognition,board,9,ok,3,1,1310,6.1,3358607.96,3319309.29,14,1,,16,1,64
activity_recognition,board,10,ok,3,1,1310,1.88,169828.47,130538.04,12,0,,13,0,64
