benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
aes,board,1,ok,15,6,0,15.48,13441378.24,12896651.98,173,5,,179,5,107
aes,board,2,ok,15,6,0,18.97,16376975.2,15832145.72,243,4,,248,4,107
aes,board,3,ok,15,6,0,17.17,13211408.3,12666336.87,405,3,,409,3,107
aes,board,4,ok,15,6,0,66.17,63693389.2,63148525.12,329,0,,330,0,107
aes,board,5,ok,15,6,0,49.0,46578013.42,46033235.81,221,15,,237,15,107
aes,board,6,ok,15,6,0,21.89,20176720.12,19631984.27,223,4,,228,4,107
aes,board,7,ok,15,6,0,38.1,36428838.74,35884089.49,228,0,,229,0,107
aes,board,8,ok,15,6,0,54.4,51733191.94,51188272.98,307,33,,342,33,107
aes,board,9,ok,15,6,0,53.61,50859215.05,50314566.81,220,0,,221,0,107
aes,board,10,ok,15,6,0,45.2,43497287.77,42952659.0,186,33,,220,33,107
