benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
aes,board,1,ok,11,11,846,37.38,35292946.51,33991752.31,444,14,,459,14,107
aes,board,2,ok,11,11,846,43.49,40871922.74,39570641.08,543,10,,554,10,107
aes,board,3,ok,11,11,846,36.08,32145478.36,30843862.12,759,8,,768,8,107
aes,board,4,ok,11,11,846,149.19,146721235.87,145419869.69,614,0,,615,0,107
aes,board,5,ok,11,11,846,120.32,117822809.51,116521511.34,546,38,,585,38,107
aes,board,6,ok,11,11,846,52.91,51114992.11,49813779.35,530,11,,542,11,107
aes,board,7,ok,11,11,846,90.33,88632043.04,87330845.2,535,0,,536,0,107
aes,board,8,ok,11,11,846,128.1,125572776.22,124271311.56,642,81,,725,81,107
aes,board,9,ok,11,11,846,126.08,123369881.89,122068728.59,513,12,,526,12,107
aes,board,10,ok,11,11,846,112.11,110471177.57,109170050.25,464,84,,549,84,107
