benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
aes,board,1,ok,2,2,832,5.51,3397343.34,3271847.34,54,1,,56,1,107
aes,board,2,ok,2,2,832,7.0,4454920.99,4329413.64,60,1,,62,1,107
aes,board,3,ok,2,2,832,5.28,1371926.22,1246376.58,91,0,,92,0,107
aes,board,4,ok,2,2,832,17.01,14552443.59,14426925.23,68,0,,69,0,107
aes,board,5,ok,2,2,832,14.89,12400799.26,12275286.6,59,4,,64,4,107
aes,board,6,ok,2,2,832,6.9,5202566.78,5077057.53,65,1,,67,1,107
aes,board,7,ok,2,2,832,11.67,9996464.06,9870964.83,61,0,,62,0,107
aes,board,8,ok,2,2,832,14.19,11619386.43,11493857.05,72,7,,81,7,107
aes,board,9,ok,2,2,832,16.11,13397573.57,13272071.91,61,0,,62,0,107
aes,board,10,ok,2,2,832,13.69,11897845.87,11772349.71,56,9,,66,9,107
