benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
bitcount,board,1,ok,9,218,794,2.17,105386.78,75764.93,7,0,,8,0,14121
bitcount,board,2,ok,9,218,794,3.1,547334.24,517710.87,7,0,,8,0,14121
bitcount,board,3,ok,9,218,794,4.0,118947.55,89323.62,6,0,,7,0,14121
bitcount,board,4,ok,9,218,794,3.29,849675.84,820053.51,7,0,,8,0,14121
bitcount,board,5,ok,9,218,794,4.37,1839270.8,1809645.56,8,0,,9,0,14121
bitcount,board,6,ok,9,218,794,2.42,702799.24,673173.43,9,0,,10,0,14121
bitcount,board,7,ok,9,218,794,3.69,2013039.05,1983412.68,8,0,,9,0,14121
bitcount,board,8,ok,9,218,794,3.37,882148.04,852519.42,12,0,,14,0,14121
bitcount,board,9,ok,9,218,794,3.67,922751.56,893127.93,8,0,,9,0,14121
bitcount,board,10,ok,9,218,794,1.88,105575.9,75954.45,7,0,,8,0,14121
