benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
bitcount,board,1,ok,14,54,0,23.11,21169423.11,20207914.92,267,8,,276,8,14121
bitcount,board,2,ok,14,54,0,30.38,27836773.16,26875378.15,362,7,,370,7,14121
bitcount,board,3,ok,14,54,0,28.13,24270216.75,23309019.99,646,6,,653,6,14121
bitcount,board,4,ok,14,54,0,105.48,102985856.42,102024851.26,508,0,,509,0,14121
bitcount,board,5,ok,14,54,0,80.03,77513540.35,76552992.34,356,25,,384,27,14121
bitcount,board,6,ok,14,54,0,33.89,32135973.19,31175585.66,341,3,,345,3,14121
bitcount,board,7,ok,14,54,0,59.01,57534716.27,56574232.39,348,0,,349,0,14121
bitcount,board,8,ok,14,54,0,86.69,84051387.76,83090779.66,481,54,,537,54,14121
bitcount,board,9,ok,14,54,0,83.61,80936849.7,79976554.35,329,0,,330,0,14121
bitcount,board,10,ok,14,54,0,72.8,71111578.78,70151086.98,285,54,,340,54,14121
