benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
bitcount,board,1,ok,2,5,2957,3.07,1018221.36,936324.21,31,0,,32,0,14121
bitcount,board,2,ok,2,5,2957,4.2,1688280.99,1606371.56,39,0,,40,0,14121
bitcount,board,3,ok,2,5,2957,4.89,1011897.65,929942.23,62,0,,63,0,14121
bitcount,board,4,ok,2,5,2957,13.78,11249926.71,11168000.06,52,0,,53,0,14121
bitcount,board,5,ok,2,5,2957,10.59,8056781.03,7974867.75,40,2,,43,2,14121
bitcount,board,6,ok,2,5,2957,3.39,1602878.76,1520978.3,38,0,,39,0,14121
bitcount,board,7,ok,2,5,2957,8.19,6518371.88,6436468.38,40,0,,41,0,14121
bitcount,board,8,ok,2,5,2957,9.6,6985043.89,6903117.84,49,4,,55,4,14121
bitcount,board,9,ok,2,5,2957,11.07,8366565.98,8284660.76,39,0,,40,0,14121
bitcount,board,10,ok,2,5,2957,9.58,7893161.94,7811267.52,34,6,,41,6,14121
