benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
bitcount,board,1,ok,3,2,750,2.22,117265.14,86908.82,8,0,,9,0,14121
bitcount,board,2,ok,3,2,750,3.08,568153.42,537794.47,10,0,,11,0,14121
bitcount,board,3,ok,3,2,750,4.01,141665.33,111308.25,8,0,,9,0,14121
bitcount,board,4,ok,3,2,750,5.17,2620409.63,2590050.87,9,0,,10,0,14121
bitcount,board,5,ok,3,2,750,4.41,1875286.12,1844926.66,10,0,,11,0,14121
bitcount,board,6,ok,3,2,750,2.59,724824.85,694463.14,11,0,,12,0,14121
bitcount,board,7,ok,3,2,750,3.77,2022807.28,1992446.92,9,0,,10,0,14121
bitcount,board,8,ok,3,2,750,3.41,893834.27,863471.71,12,0,,14,0,14121
bitcount,board,9,ok,3,2,750,3.71,923660.74,893304.36,8,0,,9,0,14121
bitcount,board,10,ok,3,2,750,1.87,117148.39,86793.62,8,0,,9,0,14121
