benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
chacha20,board,1,ok,2,43,1242,2.26,159467.95,107561.17,10,0,,11,0,79
chacha20,board,2,ok,2,43,1242,3.18,622519.98,570609.88,11,0,,12,0,79
chacha20,board,3,ok,2,43,1242,4.08,208490.03,156580.84,10,0,,11,0,79
chacha20,board,4,ok,2,43,1242,5.8,3392855.3,3340944.88,10,1,,12,1,79
chacha20,board,5,ok,2,43,1242,4.48,1895127.34,1843222.15,10,0,,11,0,79
chacha20,board,6,ok,2,43,1242,2.87,1040239.39,988331.2,10,0,,11,0,79
chacha20,board,7,ok,2,43,1242,3.77,2079525.89,2027618.81,10,0,,11,0,79
chacha20,board,8,ok,2,43,1242,3.49,914172.11,862262.01,11,0,,13,0,79
chacha20,board,9,ok,2,43,1242,5.29,2504250.92,2452342.78,10,1,,12,1,79
chacha20,board,10,ok,2,43,1242,1.87,159503.56,107598.4,10,0,,11,0,79
