benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
chacha20,board,1,ok,4,3,0,4.7,2686607.07,2557975.47,44,1,,46,1,79
chacha20,board,2,ok,4,3,0,6.88,4314943.43,4186288.77,59,1,,61,1,79
chacha20,board,3,ok,4,3,0,5.29,1385061.95,1256378.29,95,0,,96,0,79
chacha20,board,4,ok,4,3,0,16.47,13941534.72,13812893.97,71,0,,72,0,79
chacha20,board,5,ok,4,3,0,13.6,11184744.94,11056110.03,53,3,,57,3,79
chacha20,board,6,ok,4,3,0,6.49,4667260.83,4538624.86,53,1,,55,1,79
chacha20,board,7,ok,4,3,0,10.7,9026723.7,8898090.48,54,0,,55,0,79
chacha20,board,8,ok,4,3,0,12.77,10170101.29,10041448.26,67,6,,75,6,79
chacha20,board,9,ok,4,3,0,13.67,10937567.99,10808941.99,55,0,,56,0,79
chacha20,board,10,ok,4,3,0,9.78,8061499.79,7932881.14,46,6,,53,6,79
