benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
chacha20,board,1,ok,2,4,768,4.59,2522302.89,2426904.42,32,1,,34,1,79
chacha20,board,2,ok,2,4,768,4.18,1667022.3,1571623.4,33,0,,34,0,79
chacha20,board,3,ok,2,4,768,4.59,769311.33,673898.51,36,0,,37,0,79
chacha20,board,4,ok,2,4,768,11.18,8652801.43,8557397.28,33,1,,35,1,79
chacha20,board,5,ok,2,4,768,8.87,6269065.83,6173664.28,33,2,,36,2,79
chacha20,board,6,ok,2,4,768,3.42,1606269.49,1510875.14,32,0,,33,0,79
chacha20,board,7,ok,2,4,768,7.3,5667243.38,5571843.14,33,0,,34,0,79
chacha20,board,8,ok,2,4,768,8.09,5517116.85,5421709.7,32,3,,37,3,79
chacha20,board,9,ok,2,4,768,11.09,8330893.12,8235484.47,34,2,,37,2,79
chacha20,board,10,ok,2,4,768,9.5,7883257.18,7787853.34,32,6,,39,6,79
