benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
chacha20,board,1,ok,1,1,984,2.92,887957.01,826188.94,21,0,,22,0,79
chacha20,board,2,ok,1,1,984,3.28,776353.31,714579.49,23,0,,24,0,79
chacha20,board,3,ok,1,1,984,4.32,367697.05,305918.94,27,0,,28,0,79
chacha20,board,4,ok,1,1,984,8.5,6036338.44,5974563.45,24,0,,25,0,79
chacha20,board,5,ok,1,1,984,7.5,4970654.62,4908875.56,25,1,,27,1,79
chacha20,board,6,ok,1,1,984,3.01,1181802.87,1120032.42,22,0,,23,0,79
chacha20,board,7,ok,1,1,984,6.7,5081027.6,5019256.98,22,0,,23,0,79
chacha20,board,8,ok,1,1,984,7.89,5382134.06,5320352.0,26,3,,31,3,79
chacha20,board,9,ok,1,1,984,7.93,5123350.81,5061574.4,22,1,,24,1,79
chacha20,board,10,ok,1,1,984,5.7,4009892.43,3948121.06,21,3,,25,3,79
