benchmark,capacitor,status,basic_blocks,edges,abstract_cfg_blocks,abstract_cfg_edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_store_mem_calls,runtime_debug_restore_mem_calls,candidate_globals,milp_allocation_mode,milp_variables,milp_constraints,milp_presolved_variables,milp_presolved_constraints,optimal_solution,distributed_checkpoints_inserted,vm_placed_globals,vm_placed_global_names,milp_solve_time_ms,result,run_attempts
aes-board,board,ok,26,35,9,10,4,228,47936,508,107746.96,24,0,0,3,regional,2475,10033,61,133,yes,49,0,,38,107,1
crc-board,board,ok,11,15,6,6,3,26,35264,429,30481.74,6,0,0,2,regional,135,486,13,26,yes,0,1,__local_main.result:6,5,20431,1
rsa-board,board,ok,114,169,54,71,15,1356,101440,429,54501.19,76,0,0,8,regional,10268,42953,1531,4300,yes,26,2,__local_main.qn_arr.i:25;__local_main.qn_arr.i34:21,1129,32,1
dijkstra-board,board,ok,17,24,9,12,3,43,40560,397,231298.79,91,0,0,5,regional,975,3937,137,307,yes,38,0,,19,33447,1
qsort-board,board,ok,17,24,12,15,5,22,37952,417,1149893.9,657,0,0,2,regional,324,1264,47,115,yes,7,0,,8,27023,1
activity_recognition-board,board,ok,16,22,8,9,4,45,40080,524,35864.41,16,0,0,9,regional,533,1986,153,336,yes,5,8,lfsr_state:4;__local_main.features.i.sroa.0:4;__local_main.features.i.sroa.4:4;__local_main.features.i4.sroa.0:4;__local_main.features.i4.sroa.4:4;__local_main.stats.sroa.0.i:4;__local_main.features.i13.sroa.0:4;__local_main.features.i13.sroa.5:4,27,64,1
bitcount-board,board,ok,61,92,36,51,17,197,65184,428,4547878.03,1034,0,0,2,regional,5750,25057,619,1828,yes,16,0,,84,52382,1
chacha20-board,board,ok,11,15,4,4,2,23,36656,409,51746.57,11,0,0,3,regional,495,1907,22,45,yes,30,0,,4,79,1
sensor_fusion-board,board,ok,177,268,4,4,2,19,38160,401,27324.66,17,0,0,2,regional,431,1696,17,34,yes,0,1,g_output:4,4,613,1
poly1305-board,board,ok,7,9,4,4,2,35,36032,428,493705.38,128,0,0,3,regional,559,2135,31,68,yes,0,0,,4,68,1
cuckoo_filter-board,board,ok,22,32,7,8,3,19,36784,562,45672.29,20,0,0,3,regional,432,1710,41,87,yes,4,1,__local_main.inserts:7,5,4048,1
sha256-board,board,ok,32,46,20,26,7,256,68448,531,98749.54,18,0,0,6,regional,6074,25167,606,1603,yes,90,3,g_ctx:2;__local_main.buf.i:2;__local_main.buf.i106:2,118,131,1
stringsearch-board,board,ok,32,46,18,24,5,280,48608,413,43861.83,63,0,0,4,regional,955,3869,411,1109,yes,7,0,,239,20,1
