benchmark,capacitor,status,basic_blocks,edges,region_boundaries,compilation_time_ms,peak_rss_kb,profiling_time_ms,execution_time_us,runtime_region_boundary_calls,runtime_debug_save_reg_calls,runtime_debug_restore_reg_calls,runtime_debug_store_mem_calls,runtime_debug_restore_mem_calls,result,candidate_globals,enabled_checkpoints,loop_decisions,paths_analyzed,runtime_calls_inserted,run_attempts
activity_recognition-board,board,ok,224,301,6,24,30720,477,109225.35,192,2688,0,192,96,64,95,6,24,1,15,1
aes-board,board,ok,126,165,11,11,30928,473,1309159.77,1410,19740,0,2177,0,107,272,10,39,1,28,1
bitcount-board,board,ok,38,52,2,3,29104,681,82800.15,208,2912,0,0,0,14121,25,1,6,1,2,1
chacha20-board,board,ok,36,45,2,3,29616,533,95450.99,64,896,0,0,0,79,49,2,7,1,2,1
crc-board,board,ok,28,35,3,3,28960,530,319344.63,590,8260,0,0,0,20431,19,1,5,1,3,1
cuckoo_filter-board,board,ok,79,102,6,14,29712,461,285503.27,236,3304,0,0,0,4048,81,3,12,1,6,1
dijkstra-board,board,ok,32,41,2,3,28992,718,113710.17,153,2142,0,0,0,3788,22,1,4,1,2,1
poly1305-board,board,ok,41,52,4,5,29968,428,691648.29,512,7168,0,512,256,68,123,4,7,1,9,1
qsort-board,board,ok,21,25,2,1,29376,659,45441.15,96,1344,0,0,0,9987,14,2,4,1,2,1
rsa-board,board,ok,252,341,12,1042,66248,2617,107900.62,137,1918,0,0,0,32,116,10,40,1,12,1
sensor_fusion-board,board,ok,381,563,1,3633,32544,464,34677.81,25,350,0,50,25,613,28,0,1,1,4,1
sha256-board,board,ok,65,86,7,4,29920,462,120388.13,83,1162,0,0,0,131,87,7,14,1,7,1
stringsearch-board,board,ok,49,63,7,2,29184,445,145442.78,306,4284,0,0,0,20,24,5,9,1,7,1
