benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
crc,board,1,ok,3,29,662,2.2,95182.39,64719.96,6,0,,7,0,20431
crc,board,2,ok,3,29,662,2.93,423641.27,393176.93,6,0,,7,0,20431
crc,board,3,ok,3,29,662,3.97,119474.84,89012.8,6,0,,7,0,20431
crc,board,4,ok,3,29,662,3.26,838568.84,808106.63,6,1,,8,1,20431
crc,board,5,ok,3,29,662,2.57,94953.81,64491.78,6,0,,7,0,20431
crc,board,6,ok,3,29,662,2.5,667084.2,636621.71,6,0,,7,0,20431
crc,board,7,ok,3,29,662,3.57,1860399.06,1829936.83,6,0,,7,0,20431
crc,board,8,ok,3,29,662,3.37,848229.29,817765.58,6,0,,8,0,20431
crc,board,9,ok,3,29,662,3.67,896748.8,866285.69,6,0,,7,0,20431
crc,board,10,ok,3,29,662,1.87,95154.15,64694.58,6,0,,7,0,20431
