benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
crc,board,1,ok,13,96,0,4.71,2681577.01,2539324.69,42,1,,44,1,20431
crc,board,2,ok,13,96,0,6.91,4344821.53,4202573.09,58,1,,60,1,20431
crc,board,3,ok,13,96,0,7.82,3952325.74,3810038.71,103,1,,105,1,20431
crc,board,4,ok,13,96,0,19.02,16502166.56,16359894.83,85,0,,86,0,20431
crc,board,5,ok,13,96,0,13.62,11185625.77,11043393.44,56,3,,60,3,20431
crc,board,6,ok,13,96,0,6.48,4693800.96,4551600.27,50,1,,52,1,20431
crc,board,7,ok,13,96,0,10.67,9009642.3,8867466.81,55,0,,56,0,20431
crc,board,8,ok,13,96,0,14.13,11577711.48,11435516.96,72,7,,81,7,20431
crc,board,9,ok,13,96,0,13.61,10930913.58,10788766.39,53,0,,54,0,20431
crc,board,10,ok,13,96,0,9.79,8057260.89,7915116.88,44,6,,51,6,20431
