benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
crc,board,1,ok,3,2,761,10.67,8571685.32,8254887.28,130,3,,134,3,20431
crc,board,2,ok,3,2,761,14.68,12178628.09,11861760.72,173,3,,177,3,20431
crc,board,3,ok,3,2,761,12.82,8984139.26,8667121.23,272,2,,275,2,20431
crc,board,4,ok,3,2,761,45.18,42749186.38,42432280.45,208,0,,209,0,20431
crc,board,5,ok,3,2,761,36.7,34100692.79,33783821.27,165,11,,177,11,20431
crc,board,6,ok,3,2,761,13.81,12021859.13,11705004.38,159,2,,162,2,20431
crc,board,7,ok,3,2,761,27.82,26213076.02,25896234.61,165,0,,166,0,20431
crc,board,8,ok,3,2,761,37.27,34703039.05,34386093.13,206,22,,230,22,20431
crc,board,9,ok,3,2,761,38.57,35835142.1,35518316.0,154,0,,155,0,20431
crc,board,10,ok,3,2,761,33.27,31585210.56,31268377.26,140,24,,165,24,20431
