benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
crc,board,1,ok,3,0,987,2.06,113405.13,74977.67,7,0,,8,0,20431
crc,board,2,ok,3,0,987,3.1,539578.24,501150.12,7,0,,8,0,20431
crc,board,3,ok,3,0,987,3.98,137652.99,99225.17,7,0,,8,0,20431
crc,board,4,ok,3,0,987,3.97,1452341.16,1413912.61,7,1,,9,1,20431
crc,board,5,ok,3,0,987,4.41,1834693.5,1796265.66,7,0,,8,0,20431
crc,board,6,ok,3,0,987,2.5,699110.15,660683.67,7,0,,8,0,20431
crc,board,7,ok,3,0,987,3.62,2025234.4,1986807.3,7,0,,8,0,20431
crc,board,8,ok,3,0,987,3.51,867803.82,829376.35,7,0,,9,0,20431
crc,board,9,ok,3,0,987,3.61,914861.39,876435.7,7,0,,8,0,20431
crc,board,10,ok,3,0,987,1.87,113500.11,75074.88,7,0,,8,0,20431
