benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
cuckoo_filter,board,1,ok,3,35,659,2.3,175871.02,130232.53,12,0,,13,0,4048
cuckoo_filter,board,2,ok,3,35,659,3.22,651645.92,606004.55,13,0,,14,0,4048
cuckoo_filter,board,3,ok,3,35,659,4.2,233521.49,187876.87,15,0,,16,0,4048
cuckoo_filter,board,4,ok,3,35,659,5.99,3429475.34,3383831.78,15,0,,16,0,4048
cuckoo_filter,board,5,ok,3,35,659,4.49,1911507.86,1865868.87,12,0,,13,0,4048
cuckoo_filter,board,6,ok,3,35,659,2.89,1054973.55,1009331.47,12,0,,13,0,4048
cuckoo_filter,board,7,ok,3,35,659,3.71,2080723.68,2035081.99,14,0,,15,0,4048
cuckoo_filter,board,8,ok,3,35,659,3.51,925074.14,879429.21,16,0,,18,0,4048
cuckoo_filter,board,9,ok,3,35,659,6.16,3354285.83,3308645.73,13,1,,15,1,4048
cuckoo_filter,board,10,ok,3,35,659,1.89,175866.43,130227.0,12,0,,13,0,4048
