benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
cuckoo_filter,board,1,ok,5,58,0,10.5,8489992.93,8105348.11,115,3,,119,3,4048
cuckoo_filter,board,2,ok,5,58,0,12.4,9913720.51,9529035.08,155,2,,158,2,4048
cuckoo_filter,board,3,ok,5,58,0,13.01,9074349.22,8689411.76,282,2,,285,2,4048
cuckoo_filter,board,4,ok,5,58,0,45.29,42756998.14,42372252.17,210,0,,211,0,4048
cuckoo_filter,board,5,ok,5,58,0,33.51,31063448.72,30678730.44,155,10,,166,10,4048
cuckoo_filter,board,6,ok,5,58,0,13.74,15428225.34,15043564.72,143,3,,146,3,4048
cuckoo_filter,board,7,ok,5,58,0,25.68,23952100.17,23567400.61,147,0,,148,0,4048
cuckoo_filter,board,8,ok,5,58,0,37.22,34701884.87,34317045.21,203,22,,227,22,4048
cuckoo_filter,board,9,ok,5,58,0,36.19,33424583.7,33039849.95,138,0,,139,0,4048
cuckoo_filter,board,10,ok,5,58,0,29.49,27778083.02,27393278.92,122,21,,144,21,4048
