benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
cuckoo_filter,board,1,ok,6,14,932,9.83,7750648.87,7465194.54,112,4,,117,4,4048
cuckoo_filter,board,2,ok,6,14,932,11.11,8558954.78,8273475.71,122,2,,125,2,4048
cuckoo_filter,board,3,ok,6,14,932,9.18,5267849.64,4982297.04,173,1,,175,1,4048
cuckoo_filter,board,4,ok,6,14,932,34.78,32276585.97,31991090.71,138,0,,139,0,4048
cuckoo_filter,board,5,ok,6,14,932,27.4,24893892.25,24608399.65,123,8,,132,8,4048
cuckoo_filter,board,6,ok,6,14,932,13.29,11406108.09,11120647.67,125,2,,128,2,4048
cuckoo_filter,board,7,ok,6,14,932,22.04,20432877.08,20147407.39,125,0,,126,0,4048
cuckoo_filter,board,8,ok,6,14,932,28.03,25511378.06,25225857.99,140,16,,158,16,4048
cuckoo_filter,board,9,ok,6,14,932,31.19,28377798.85,28092332.39,122,3,,126,3,4048
cuckoo_filter,board,10,ok,6,14,932,25.58,23832122.55,23546660.3,115,18,,134,18,4048
