benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
cuckoo_filter,board,1,ok,5,2,870,2.82,840272.29,782621.45,16,1,,18,1,4048
cuckoo_filter,board,2,ok,5,2,870,3.25,740074.68,682417.91,21,0,,22,0,4048
cuckoo_filter,board,3,ok,5,2,870,4.28,355445.28,297783.84,25,0,,26,0,4048
cuckoo_filter,board,4,ok,5,2,870,8.5,6011707.12,5954046.61,22,1,,24,1,4048
cuckoo_filter,board,5,ok,5,2,870,5.71,3196422.83,3138763.32,21,1,,23,1,4048
cuckoo_filter,board,6,ok,5,2,870,3.0,1135462.26,1077810.31,18,0,,19,0,4048
cuckoo_filter,board,7,ok,5,2,870,5.21,3485738.4,3428082.09,21,0,,22,0,4048
cuckoo_filter,board,8,ok,5,2,870,5.01,2395531.47,2337868.51,22,1,,25,1,4048
cuckoo_filter,board,9,ok,5,2,870,6.2,3428663.78,3371012.52,19,0,,20,0,4048
cuckoo_filter,board,10,ok,5,2,870,5.73,3968274.66,3910620.9,18,3,,22,3,4048
