benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
dijkstra,board,1,ok,3,59,815,2.19,114672.44,86796.19,8,0,,9,0,3788
dijkstra,board,2,ok,3,59,815,3.09,542096.64,514216.1,9,0,,10,0,3788
dijkstra,board,3,ok,3,59,815,3.99,138142.39,110264.4,9,0,,10,0,3788
dijkstra,board,4,ok,3,59,815,3.99,1456178.14,1428300.32,8,0,,9,0,3788
dijkstra,board,5,ok,3,59,815,4.39,1851410.77,1823532.15,9,0,,10,0,3788
dijkstra,board,6,ok,3,59,815,2.58,702616.5,674739.12,8,0,,9,0,3788
dijkstra,board,7,ok,3,59,815,3.69,2022602.99,1994723.38,9,0,,10,0,3788
dijkstra,board,8,ok,3,59,815,3.49,869866.18,841983.05,10,0,,12,0,3788
dijkstra,board,9,ok,3,59,815,3.69,907190.61,879311.49,8,0,,9,0,3788
dijkstra,board,10,ok,3,59,815,1.89,114677.81,86800.55,8,0,,9,0,3788
