benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
dijkstra,board,1,ok,4,28,0,43.31,41227003.74,39439530.03,502,16,,519,16,3788
dijkstra,board,2,ok,4,28,0,53.83,51387983.07,49600327.47,677,13,,691,13,3788
dijkstra,board,3,ok,4,28,0,55.21,51351196.14,49563532.83,1286,13,,1300,13,3788
dijkstra,board,4,ok,4,28,0,199.79,197286216.44,195498092.08,955,0,,956,0,3788
dijkstra,board,5,ok,4,28,0,143.91,141396542.81,139609729.47,649,45,,695,45,3788
dijkstra,board,6,ok,4,28,0,64.39,62593476.45,60807685.27,647,12,,660,12,3788
dijkstra,board,7,ok,4,28,0,107.69,106022673.19,104237471.18,646,0,,647,0,3788
dijkstra,board,8,ok,4,28,0,161.99,159458141.24,157672536.8,898,103,,1003,103,3788
dijkstra,board,9,ok,4,28,0,156.11,153391573.42,151606436.95,606,0,,607,0,3788
dijkstra,board,10,ok,4,28,0,139.71,137971139.76,136185746.51,539,105,,645,105,3788
