benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
dijkstra,board,1,ok,2,6,1130,4.79,2743308.28,2627510.65,50,1,,52,1,3788
dijkstra,board,2,ok,2,6,1130,6.89,4339693.62,4223865.43,58,1,,60,1,3788
dijkstra,board,3,ok,2,6,1130,5.31,1380999.42,1265122.25,96,0,,97,0,3788
dijkstra,board,4,ok,2,6,1130,19.01,16484110.2,16368265.97,74,0,,75,0,3788
dijkstra,board,5,ok,2,6,1130,14.89,12411494.81,12295660.48,61,4,,66,4,3788
dijkstra,board,6,ok,2,6,1130,6.98,5181736.67,5065919.58,60,1,,62,1,3788
dijkstra,board,7,ok,2,6,1130,10.8,9166414.31,9050596.44,60,0,,61,0,3788
dijkstra,board,8,ok,2,6,1130,14.21,11603642.26,11487792.32,76,7,,85,7,3788
dijkstra,board,9,ok,2,6,1130,16.11,13353344.35,13237535.45,60,0,,61,0,3788
dijkstra,board,10,ok,2,6,1130,13.51,11874394.02,11758589.55,55,9,,65,9,3788
