benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
dijkstra,board,1,ok,2,2,2927,2.19,127240.53,97446.33,9,0,,10,0,3788
dijkstra,board,2,ok,2,2,2927,3.09,566246.15,536451.96,10,0,,11,0,3788
dijkstra,board,3,ok,2,2,2927,4.1,183760.46,153963.74,13,0,,14,0,3788
dijkstra,board,4,ok,2,2,2927,5.09,2618957.99,2589160.92,11,0,,12,0,3788
dijkstra,board,5,ok,2,2,2927,4.39,1869326.25,1839530.27,11,0,,12,0,3788
dijkstra,board,6,ok,2,2,2927,2.69,879765.2,849970.48,11,0,,12,0,3788
dijkstra,board,7,ok,2,2,2927,3.79,2053820.69,2024022.59,12,0,,13,0,3788
dijkstra,board,8,ok,2,2,2927,3.38,890259.66,860462.13,12,0,,14,0,3788
dijkstra,board,9,ok,2,2,2927,3.69,931251.36,901459.42,9,0,,10,0,3788
dijkstra,board,10,ok,2,2,2927,1.81,116279.62,86489.09,8,0,,9,0,3788
