benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
poly1305,board,1,ok,2,35,727,12.28,10187580.04,9693839.97,127,4,,132,4,68
poly1305,board,2,ok,2,35,727,12.29,9764689.68,9270900.14,128,2,,131,2,68
poly1305,board,3,ok,2,35,727,9.09,5188182.16,4694380.68,127,1,,129,1,68
poly1305,board,4,ok,2,35,727,39.81,37325521.46,36831746.63,127,8,,136,8,68
poly1305,board,5,ok,2,35,727,32.2,29736633.32,29242854.36,128,9,,138,9,68
poly1305,board,6,ok,2,35,727,13.72,11951776.2,11458008.3,127,2,,130,2,68
poly1305,board,7,ok,2,35,727,24.69,22946817.75,22453028.14,127,0,,128,0,68
poly1305,board,8,ok,2,35,727,31.21,28644861.5,28151074.6,128,18,,148,18,68
poly1305,board,9,ok,2,35,727,36.21,33416389.69,32922610.5,128,6,,135,6,68
poly1305,board,10,ok,2,35,727,33.41,31641792.92,31148027.46,127,24,,152,24,68
