benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
poly1305,board,1,ok,4,5,0,25.58,23532335.06,22746348.91,312,9,,322,9,68
poly1305,board,2,ok,4,5,0,30.6,27996715.05,27210578.99,399,7,,407,7,68
poly1305,board,3,ok,4,5,0,28.17,24230100.76,23443576.48,644,6,,651,6,68
poly1305,board,4,ok,4,5,0,118.62,116068284.53,115281980.76,517,0,,518,0,68
poly1305,board,5,ok,4,5,0,81.89,79376036.5,78589878.42,381,25,,407,25,68
poly1305,board,6,ok,4,5,0,34.47,32610174.65,31824062.98,376,6,,383,6,68
poly1305,board,7,ok,4,5,0,61.71,60110341.36,59324252.29,384,0,,385,0,68
poly1305,board,8,ok,4,5,0,88.1,85522662.27,84736258.39,507,55,,564,55,68
poly1305,board,9,ok,4,5,0,86.21,83403334.19,82617315.39,361,0,,362,0,68
poly1305,board,10,ok,4,5,0,76.79,75011310.64,74225274.7,328,57,,386,57,68
