benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
poly1305,board,1,ok,4,5,600,22.27,20170911.0,19480895.31,258,8,,267,8,68
poly1305,board,2,ok,4,5,600,23.57,21022394.67,20332306.19,279,5,,285,5,68
poly1305,board,3,ok,4,5,600,17.07,13153955.91,12463715.27,345,3,,349,3,68
poly1305,board,4,ok,4,5,600,71.49,68947698.03,68257533.0,283,1,,285,1,68
poly1305,board,5,ok,4,5,600,61.43,58993955.94,58303752.69,271,19,,291,19,68
poly1305,board,6,ok,4,5,600,28.81,26940858.79,26250687.0,270,5,,276,5,68
poly1305,board,7,ok,4,5,600,46.57,44827211.59,44137007.48,273,0,,274,0,68
poly1305,board,8,ok,4,5,600,60.48,57818212.09,57127883.5,289,37,,328,37,68
poly1305,board,9,ok,4,5,600,73.58,70840249.21,70150011.97,281,20,,302,20,68
poly1305,board,10,ok,4,5,600,64.79,63081158.17,62390999.62,257,48,,306,48,68
