benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
poly1305,board,1,ok,1,1,816,15.59,13504204.79,12952900.15,179,5,,185,5,68
poly1305,board,2,ok,1,1,816,16.2,13844204.01,13292874.61,187,3,,191,3,68
poly1305,board,3,ok,1,1,816,13.07,9215343.01,8663916.14,238,2,,241,2,68
poly1305,board,4,ok,1,1,816,53.1,50594541.07,50043200.82,188,0,,189,0,68
poly1305,board,5,ok,1,1,816,46.01,43454015.59,42902638.26,199,14,,214,14,68
poly1305,board,6,ok,1,1,816,21.92,20099002.63,19547656.33,201,5,,207,5,68
poly1305,board,7,ok,1,1,816,34.69,32952166.26,32400833.43,190,0,,191,0,68
poly1305,board,8,ok,1,1,816,46.51,43960866.03,43409458.28,214,28,,244,28,68
poly1305,board,9,ok,1,1,816,51.09,48355517.26,47804185.29,195,7,,203,7,68
poly1305,board,10,ok,1,1,816,45.21,43482013.03,42930674.25,182,33,,216,33,68
