benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
qsort,board,1,ok,3,28,726,2.27,138794.36,108730.8,10,0,,11,0,9987
qsort,board,2,ok,3,28,726,3.08,567495.81,537432.02,10,0,,11,0,9987
qsort,board,3,ok,3,28,726,4.01,162310.43,132243.33,11,0,,12,0,9987
qsort,board,4,ok,3,28,726,5.9,3400645.54,3370576.64,13,0,,14,0,9987
qsort,board,5,ok,3,28,726,4.31,1883312.17,1853248.31,11,0,,12,0,9987
qsort,board,6,ok,3,28,726,2.59,722374.35,692309.29,11,0,,12,0,9987
qsort,board,7,ok,3,28,726,3.77,2045106.4,2015041.83,11,0,,12,0,9987
qsort,board,8,ok,3,28,726,3.48,890827.11,860757.27,14,0,,16,0,9987
qsort,board,9,ok,3,28,726,3.69,943839.17,913775.21,10,0,,11,0,9987
qsort,board,10,ok,3,28,726,1.88,127885.79,97825.5,9,0,,10,0,9987
