benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
qsort,board,1,ok,5,37,0,9.81,7716124.88,7364364.14,101,3,,105,3,9987
qsort,board,2,ok,5,37,0,12.0,9486000.68,9134195.35,135,2,,138,2,9987
qsort,board,3,ok,5,37,0,12.29,8495933.51,8143880.74,243,2,,246,2,9987
qsort,board,4,ok,5,37,0,39.92,37528020.84,37176109.52,193,0,,194,0,9987
qsort,board,5,ok,5,37,0,30.48,27979137.08,27627298.25,132,9,,142,9,9987
qsort,board,6,ok,5,37,0,13.21,11488047.68,11136191.08,130,2,,133,2,9987
qsort,board,7,ok,5,37,0,24.12,22489806.3,22137875.66,136,0,,137,0,9987
qsort,board,8,ok,5,37,0,32.7,30099595.83,29747473.41,180,19,,201,19,9987
qsort,board,9,ok,5,37,0,33.54,30870861.2,30518812.11,126,0,,127,0,9987
qsort,board,10,ok,5,37,0,29.39,27605961.08,27253890.8,109,21,,131,21,9987
