benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
qsort,board,1,ok,2,2,920,2.27,219496.23,174488.43,16,0,,17,0,9987
qsort,board,2,ok,2,2,920,3.22,730715.33,685703.15,19,0,,20,0,9987
qsort,board,3,ok,2,2,920,4.3,341197.84,296170.83,27,0,,28,0,9987
qsort,board,4,ok,2,2,920,8.49,6027990.73,5982962.18,31,0,,32,0,9987
qsort,board,5,ok,2,2,920,5.69,3177525.79,3132506.24,21,1,,23,1,9987
qsort,board,6,ok,2,2,920,2.91,1131826.13,1086808.61,21,0,,22,0,9987
qsort,board,7,ok,2,2,920,5.18,3486078.85,3441060.46,23,0,,24,0,9987
qsort,board,8,ok,2,2,920,5.0,2414724.51,2369697.16,24,1,,27,1,9987
qsort,board,9,ok,2,2,920,6.19,3411114.44,3366100.62,19,0,,20,0,9987
qsort,board,10,ok,2,2,920,5.67,3953895.86,3908883.73,18,3,,22,3,9987
