benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
qsort,board,1,ok,1,2,822,2.27,193559.09,152452.82,14,0,,15,0,9987
qsort,board,2,ok,1,2,822,3.29,704043.02,662928.5,18,0,,19,0,9987
qsort,board,3,ok,1,2,822,4.19,304765.35,263642.02,24,0,,25,0,9987
qsort,board,4,ok,1,2,822,6.59,4079416.85,4038294.4,22,0,,23,0,9987
qsort,board,5,ok,1,2,822,5.7,3167734.07,3126611.37,20,1,,22,1,9987
qsort,board,6,ok,1,2,822,2.91,1116791.15,1075670.85,20,0,,21,0,9987
qsort,board,7,ok,1,2,822,4.77,3060650.1,3019533.25,19,0,,20,0,9987
qsort,board,8,ok,1,2,822,4.88,2380466.66,2339340.4,22,1,,25,1,9987
qsort,board,9,ok,1,2,822,6.1,3381808.97,3340692.1,17,0,,18,0,9987
qsort,board,10,ok,1,2,822,1.97,193971.82,152859.43,14,0,,15,0,9987
