benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
rsa,board,1,ok,15,1594,876,2.29,217291.72,162812.03,15,0,,16,0,32
rsa,board,2,ok,15,1594,876,3.27,739746.81,685258.85,18,0,,19,0,32
rsa,board,3,ok,15,1594,876,4.3,361668.46,307164.67,28,0,,29,0,32
rsa,board,4,ok,15,1594,876,8.47,6014132.74,5959630.98,27,1,,29,1,32
rsa,board,5,ok,15,1594,876,5.79,3202153.66,3147657.19,21,1,,23,1,32
rsa,board,6,ok,15,1594,876,2.99,1108780.38,1054294.56,16,0,,17,0,32
rsa,board,7,ok,15,1594,876,4.77,3091552.96,3037066.03,19,0,,20,0,32
rsa,board,8,ok,15,1594,876,5.06,2391774.79,2337277.06,23,1,,26,1,32
rsa,board,9,ok,15,1594,876,6.1,3402073.8,3347586.67,18,1,,20,1,32
rsa,board,10,ok,15,1594,876,5.63,3968593.94,3914109.07,17,3,,21,3,32
