benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
rsa,board,1,ok,42,106,0,33.21,31133976.32,29765989.24,381,12,,394,12,32
rsa,board,2,ok,42,106,0,42.1,39580658.6,38212694.66,514,10,,525,10,32
rsa,board,3,ok,42,106,0,39.43,35641649.23,34273188.5,914,9,,924,9,32
rsa,board,4,ok,42,106,0,155.22,152745768.51,151377703.49,735,0,,736,0,32
rsa,board,5,ok,42,106,0,111.03,108539599.54,107171731.2,511,35,,547,35,32
rsa,board,6,ok,42,106,0,49.33,47529855.48,46161885.16,487,9,,497,9,32
rsa,board,7,ok,42,106,0,83.38,81652535.77,80284652.85,501,0,,502,0,32
rsa,board,8,ok,42,106,0,123.52,121042566.03,119674191.97,688,78,,768,78,32
rsa,board,9,ok,42,106,0,120.99,118334987.0,116966854.16,458,0,,459,0,32
rsa,board,10,ok,42,106,0,104.36,102628651.41,101259638.26,408,78,,487,78,32
