benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
rsa,board,1,ok,12,64,842,4.79,2704271.65,2595809.58,47,1,,49,1,32
rsa,board,2,ok,12,64,842,6.79,4302521.96,4194042.94,57,1,,59,1,32
rsa,board,3,ok,12,64,842,5.19,1302274.91,1193752.5,86,0,,87,0,32
rsa,board,4,ok,12,64,842,16.47,13933482.05,13824988.4,65,0,,66,0,32
rsa,board,5,ok,12,64,842,13.69,11178451.45,11069962.61,57,3,,61,3,32
rsa,board,6,ok,12,64,842,6.49,4691775.07,4583291.3,52,1,,54,1,32
rsa,board,7,ok,12,64,842,10.49,9016108.92,8907626.79,56,0,,57,0,32
rsa,board,8,ok,12,64,842,12.69,10149091.25,10040577.6,68,6,,76,6,32
rsa,board,9,ok,12,64,842,13.6,10921595.94,10813118.57,50,0,,51,0,32
rsa,board,10,ok,12,64,842,9.69,8079009.5,7970531.65,49,6,,56,6,32
