benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
rsa,board,1,ok,9,1262,2151,2.82,865732.34,809253.92,19,0,,20,0,32
rsa,board,2,ok,9,1262,2151,3.27,778328.0,721848.33,22,0,,23,0,32
rsa,board,3,ok,9,1262,2151,4.49,586001.77,529494.25,39,0,,40,0,32
rsa,board,4,ok,9,1262,2151,8.5,6055547.36,5999053.91,31,0,,32,0,32
rsa,board,5,ok,9,1262,2151,7.51,4949360.5,4892874.94,25,1,,27,1,32
rsa,board,6,ok,9,1262,2151,2.99,1169536.52,1113060.73,22,0,,23,0,32
rsa,board,7,ok,9,1262,2151,6.09,4432740.69,4376263.99,24,0,,25,0,32
rsa,board,8,ok,9,1262,2151,8.01,5380932.18,5324452.68,27,3,,32,3,32
rsa,board,9,ok,9,1262,2151,8.59,5845869.51,5789398.44,23,0,,24,0,32
rsa,board,10,ok,9,1262,2151,5.71,4008193.79,3951727.55,21,3,,25,3,32
