benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
sensor_fusion,board,1,ok,2,37,849,2.1,103439.59,76028.6,7,0,,8,0,613
sensor_fusion,board,2,ok,2,37,849,3.01,552177.73,524760.38,11,0,,12,0,613
sensor_fusion,board,3,ok,2,37,849,4.1,171189.59,143770.64,12,0,,13,0,613
sensor_fusion,board,4,ok,2,37,849,5.09,2615234.87,2587818.7,10,0,,11,0,613
sensor_fusion,board,5,ok,2,37,849,4.4,1847903.26,1820485.86,10,0,,11,0,613
sensor_fusion,board,6,ok,2,37,849,2.49,709850.96,682436.07,10,0,,11,0,613
sensor_fusion,board,7,ok,2,37,849,3.68,2019660.29,1992244.11,10,0,,11,0,613
sensor_fusion,board,8,ok,2,37,849,3.43,878010.23,850590.99,12,0,,14,0,613
sensor_fusion,board,9,ok,2,37,849,3.65,919544.75,892131.64,8,0,,9,0,613
sensor_fusion,board,10,ok,2,37,849,1.81,103532.6,76122.46,7,0,,8,0,613
