benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
sensor_fusion,board,1,ok,2,131,0,2.11,127792.88,98023.21,9,0,,10,0,613
sensor_fusion,board,2,ok,2,131,0,3.12,615976.21,586201.67,12,0,,13,0,613
sensor_fusion,board,3,ok,2,131,0,4.11,184560.07,154782.87,13,0,,14,0,613
sensor_fusion,board,4,ok,2,131,0,5.91,3404748.33,3374974.64,12,0,,13,0,613
sensor_fusion,board,5,ok,2,131,0,4.39,1875678.26,1845904.67,12,0,,13,0,613
sensor_fusion,board,6,ok,2,131,0,2.83,1055003.23,1025227.95,14,0,,15,0,613
sensor_fusion,board,7,ok,2,131,0,3.81,2062654.68,2032878.79,12,0,,13,0,613
sensor_fusion,board,8,ok,2,131,0,3.49,892016.45,862238.74,13,0,,15,0,613
sensor_fusion,board,9,ok,2,131,0,3.57,934743.53,904967.43,10,0,,11,0,613
sensor_fusion,board,10,ok,2,131,0,1.89,127634.4,97860.98,9,0,,10,0,613
