benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
sensor_fusion,board,1,ok,1,497,891,2.29,153135.29,119997.89,11,0,,12,0,613
sensor_fusion,board,2,ok,1,497,891,3.2,639922.2,606780.73,15,0,,16,0,613
sensor_fusion,board,3,ok,1,497,891,4.18,241906.19,208758.38,19,0,,20,0,613
sensor_fusion,board,4,ok,1,497,891,5.97,3436592.85,3403438.86,21,0,,22,0,613
sensor_fusion,board,5,ok,1,497,891,5.61,3100701.58,3067554.81,14,1,,16,1,613
sensor_fusion,board,6,ok,1,497,891,2.88,1064060.54,1030913.17,17,0,,18,0,613
sensor_fusion,board,7,ok,1,497,891,3.79,2070533.0,2037389.71,14,0,,15,0,613
sensor_fusion,board,8,ok,1,497,891,3.58,927987.6,894840.14,17,0,,19,0,613
sensor_fusion,board,9,ok,1,497,891,6.08,3346582.54,3313442.26,14,0,,15,0,613
sensor_fusion,board,10,ok,1,497,891,1.7,152986.94,119850.22,11,0,,12,0,613
