benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
sha256,board,1,ok,7,249,677,2.89,894845.76,795431.21,17,0,,18,0,131
sha256,board,2,ok,7,249,677,3.29,773747.61,674329.95,17,0,,18,0,131
sha256,board,3,ok,7,249,677,4.29,343721.06,244296.01,17,0,,18,0,131
sha256,board,4,ok,7,249,677,7.79,5243781.25,5144352.97,17,2,,20,2,131
sha256,board,5,ok,7,249,677,5.71,3202298.09,3102880.09,16,1,,18,1,131
sha256,board,6,ok,7,249,677,2.99,1139104.97,1039680.93,16,0,,17,0,131
sha256,board,7,ok,7,249,677,6.19,4425226.83,4325807.29,16,0,,17,0,131
sha256,board,8,ok,7,249,677,5.09,2411641.89,2312224.25,17,1,,20,1,131
sha256,board,9,ok,7,249,677,6.19,3434232.57,3334813.94,17,0,,18,0,131
sha256,board,10,ok,7,249,677,5.6,3975832.58,3876411.94,16,3,,20,3,131
