benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
sha256,board,1,ok,11,7,0,7.28,5164089.19,4959726.85,72,2,,75,2,131
sha256,board,2,ok,11,7,0,8.17,5613684.68,5409275.76,96,1,,98,1,131
sha256,board,3,ok,11,7,0,8.81,5014394.38,4809875.8,175,1,,177,1,131
sha256,board,4,ok,11,7,0,29.41,26989786.33,26785343.12,133,0,,134,0,131
sha256,board,5,ok,11,7,0,21.11,18676062.13,18471648.27,93,6,,100,6,131
sha256,board,6,ok,11,7,0,8.4,6639079.04,6434704.45,86,1,,88,1,131
sha256,board,7,ok,11,7,0,17.31,15550089.44,15345665.4,95,0,,96,0,131
sha256,board,8,ok,11,7,0,22.01,19405891.14,19201427.87,122,12,,136,12,131
sha256,board,9,ok,11,7,0,23.58,20824114.54,20619733.05,93,0,,94,0,131
sha256,board,10,ok,11,7,0,17.59,15897202.4,15692824.84,77,12,,90,12,131
