benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
sha256,board,1,ok,7,4,813,4.67,2591380.8,2470999.84,36,1,,38,1,131
sha256,board,2,ok,7,4,813,4.41,1919376.92,1798982.98,44,0,,45,0,131
sha256,board,3,ok,7,4,813,4.98,1081572.08,961152.75,60,0,,61,0,131
sha256,board,4,ok,7,4,813,13.73,11287201.05,11166797.55,47,1,,49,1,131
sha256,board,5,ok,7,4,813,11.82,9299736.14,9179338.59,42,3,,46,3,131
sha256,board,6,ok,7,4,813,3.51,1682344.67,1561951.92,38,0,,39,0,131
sha256,board,7,ok,7,4,813,10.31,8572265.81,8451872.44,44,0,,45,0,131
sha256,board,8,ok,7,4,813,11.93,9280862.76,9160452.13,48,6,,56,6,131
sha256,board,9,ok,7,4,813,11.22,8422957.74,8302569.37,39,1,,41,1,131
sha256,board,10,ok,7,4,813,9.73,7966946.58,7846555.89,37,6,,44,6,131
