benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
sha256,board,1,ok,6,2,1008,4.69,2533685.53,2431750.36,33,1,,35,1,131
sha256,board,2,ok,6,2,1008,4.22,1647106.81,1545173.7,32,0,,33,0,131
sha256,board,3,ok,6,2,1008,4.6,657337.08,555405.61,32,0,,33,0,131
sha256,board,4,ok,6,2,1008,11.19,8636676.93,8534735.6,32,2,,35,2,131
sha256,board,5,ok,6,2,1008,8.71,6258860.66,6156923.79,32,2,,35,2,131
sha256,board,6,ok,6,2,1008,3.4,1625429.1,1523500.72,32,0,,33,0,131
sha256,board,7,ok,6,2,1008,7.28,5540701.11,5438769.75,32,0,,33,0,131
sha256,board,8,ok,6,2,1008,8.2,5523271.75,5421332.62,32,3,,37,3,131
sha256,board,9,ok,6,2,1008,11.0,8225261.47,8123322.34,33,1,,35,1,131
sha256,board,10,ok,6,2,1008,9.59,7895315.85,7793382.43,32,6,,39,6,131
