benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
sha256_fixed,board,1,ok,6,134,767,2.99,859825.39,,18,1,131
sha256_fixed,board,2,ok,6,134,767,3.36,751165.3,,18,0,131
sha256_fixed,board,3,ok,6,134,767,4.25,311351.05,,17,0,131
sha256_fixed,board,4,ok,6,134,767,7.78,5241339.54,,19,2,131
sha256_fixed,board,5,ok,6,134,767,5.77,3183902.58,,19,1,131
sha256_fixed,board,6,ok,6,134,767,2.94,1145567.53,,17,0,131
sha256_fixed,board,7,ok,6,134,767,4.7,3077264.7,,17,0,131
sha256_fixed,board,8,ok,6,134,767,5.01,2391485.79,,20,1,131
sha256_fixed,board,9,ok,6,134,767,6.11,3411504.9,,19,1,131
sha256_fixed,board,10,ok,6,134,767,5.67,3989753.23,,20,3,131
