benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
sha256_fixed,board,1,ok,11,8,0,7.27,5177441.03,,76,2,131
sha256_fixed,board,2,ok,11,8,0,8.37,5779009.2,,96,1,131
sha256_fixed,board,3,ok,11,8,0,8.97,5060564.39,,181,1,131
sha256_fixed,board,4,ok,11,8,0,32.07,29588853.87,,138,0,131
sha256_fixed,board,5,ok,11,8,0,21.27,18679978.9,,102,6,131
sha256_fixed,board,6,ok,11,8,0,8.65,6777599.3,,91,1,131
sha256_fixed,board,7,ok,11,8,0,17.5,15776678.31,,99,0,131
sha256_fixed,board,8,ok,11,8,0,22.07,19409721.8,,136,12,131
sha256_fixed,board,9,ok,11,8,0,23.67,20873522.29,,89,0,131
sha256_fixed,board,10,ok,11,8,0,17.67,15938825.66,,90,12,131
