benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
sha256_fixed,board,1,ok,7,4,893,4.65,2575661.04,,37,1,131
sha256_fixed,board,2,ok,7,4,893,4.41,1860337.32,,41,0,131
sha256_fixed,board,3,ok,7,4,893,4.96,1046965.09,,56,0,131
sha256_fixed,board,4,ok,7,4,893,13.67,11129006.76,,42,0,131
sha256_fixed,board,5,ok,7,4,893,10.55,8083994.35,,43,2,131
sha256_fixed,board,6,ok,7,4,893,3.44,1647428.29,,34,0,131
sha256_fixed,board,7,ok,7,4,893,8.21,6561474.8,,41,0,131
sha256_fixed,board,8,ok,7,4,893,9.55,6989619.58,,49,4,131
sha256_fixed,board,9,ok,7,4,893,11.17,8420183.36,,38,0,131
sha256_fixed,board,10,ok,7,4,893,9.67,7952248.65,,44,6,131
