benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
sha256_fixed,board,1,ok,5,4,702,4.63,2529892.57,,34,1,131
sha256_fixed,board,2,ok,5,4,702,4.09,1622684.31,,33,0,131
sha256_fixed,board,3,ok,5,4,702,4.65,666931.47,,33,0,131
sha256_fixed,board,4,ok,5,4,702,11.09,8668188.03,,34,1,131
sha256_fixed,board,5,ok,5,4,702,8.86,6269427.92,,35,2,131
sha256_fixed,board,6,ok,5,4,702,3.39,1610809.48,,33,0,131
sha256_fixed,board,7,ok,5,4,702,7.27,5518529.97,,33,0,131
sha256_fixed,board,8,ok,5,4,702,8.11,5506938.82,,37,3,131
sha256_fixed,board,9,ok,5,4,702,11.15,8329421.63,,35,2,131
sha256_fixed,board,10,ok,5,4,702,9.66,7910655.87,,39,6,131
