benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
stringsearch,board,1,ok,4,296,767,2.3,183881.2,141362.92,13,0,,14,0,20
stringsearch,board,2,ok,4,296,767,3.22,693636.08,651107.68,18,0,,19,0,20
stringsearch,board,3,ok,4,296,767,4.19,295217.57,252680.6,23,0,,24,0,20
stringsearch,board,4,ok,4,296,767,6.0,3472219.53,3429687.77,20,0,,21,0,20
stringsearch,board,5,ok,4,296,767,5.72,3139409.11,3096884.21,18,1,,20,1,20
stringsearch,board,6,ok,4,296,767,2.82,1096235.46,1053706.35,18,0,,19,0,20
stringsearch,board,7,ok,4,296,767,4.8,3061818.13,3019288.66,19,0,,20,0,20
stringsearch,board,8,ok,4,296,767,5.0,2363430.01,2320897.17,22,1,,25,1,20
stringsearch,board,9,ok,4,296,767,6.2,3387243.48,3344717.44,17,0,,18,0,20
stringsearch,board,10,ok,4,296,767,1.81,184238.98,141717.8,13,0,,14,0,20
