benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
stringsearch,board,1,ok,8,1,0,50.0,47924201.07,45836536.18,574,19,,594,19,20
stringsearch,board,2,ok,8,1,0,59.19,56569666.05,54481752.88,789,14,,804,14,20
stringsearch,board,3,ok,8,1,0,56.31,52435042.68,50345930.46,1379,13,,1393,13,20
stringsearch,board,4,ok,8,1,0,244.34,241866192.61,239777961.42,1169,0,,1170,0,20
stringsearch,board,5,ok,8,1,0,165.59,163031933.4,160943914.88,736,52,,789,52,20
stringsearch,board,6,ok,8,1,0,70.32,68560787.6,66472796.35,744,13,,758,13,20
stringsearch,board,7,ok,8,1,0,129.09,127348351.3,125260385.87,790,0,,791,0,20
stringsearch,board,8,ok,8,1,0,185.11,182557319.69,180468729.53,1033,118,,1153,118,20
stringsearch,board,9,ok,8,1,0,176.02,173348771.35,171261080.52,715,0,,716,0,20
stringsearch,board,10,ok,8,1,0,155.49,153778501.15,151690880.72,619,117,,737,117,20
