benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
stringsearch,board,1,ok,7,4,824,5.39,3404422.96,3259539.93,53,1,,55,1,20
stringsearch,board,2,ok,7,4,824,7.02,4480834.97,4335919.12,66,1,,68,1,20
stringsearch,board,3,ok,7,4,824,5.32,1399846.67,1254895.38,93,0,,94,0,20
stringsearch,board,4,ok,7,4,824,18.89,16368040.71,16223139.06,70,0,,71,0,20
stringsearch,board,5,ok,7,4,824,14.99,12479000.56,12334093.01,62,4,,67,4,20
stringsearch,board,6,ok,7,4,824,7.69,5833727.52,5688825.69,64,1,,66,1,20
stringsearch,board,7,ok,7,4,824,11.79,10043258.66,9898360.38,60,0,,61,0,20
stringsearch,board,8,ok,7,4,824,14.3,11631230.21,11486295.85,72,7,,81,7,20
stringsearch,board,9,ok,7,4,824,16.21,13399769.29,13254878.94,62,0,,63,0,20
stringsearch,board,10,ok,7,4,824,13.63,11905455.22,11760565.73,55,9,,65,9,20
