benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
stringsearch,board,1,ok,4,2,740,2.29,211682.59,163505.27,15,0,,16,0,20
stringsearch,board,2,ok,4,2,740,3.29,721721.24,673536.68,20,0,,21,0,20
stringsearch,board,3,ok,4,2,740,4.3,344957.95,296765.23,27,0,,28,0,20
stringsearch,board,4,ok,4,2,740,8.43,6021580.84,5973384.87,29,0,,30,0,20
stringsearch,board,5,ok,4,2,740,5.72,3178768.47,3130578.48,20,1,,22,1,20
stringsearch,board,6,ok,4,2,740,3.0,1122694.36,1074510.98,21,0,,22,0,20
stringsearch,board,7,ok,4,2,740,4.81,3078202.11,3030016.38,22,0,,23,0,20
stringsearch,board,8,ok,4,2,740,5.0,2404727.76,2356535.9,24,1,,27,1,20
stringsearch,board,9,ok,4,2,740,6.2,3413269.35,3365084.56,20,0,,21,0,20
stringsearch,board,10,ok,4,2,740,5.59,3953868.33,3905684.06,18,3,,22,3,20
