benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_recovery_boots,result
stringsearch_fixed,board,1,ok,3,4,976,9.27,874092.56,,0,20
stringsearch_fixed,board,2,ok,3,4,976,18.57,5628246.73,,0,20
stringsearch_fixed,board,3,ok,3,4,976,39.33,12617974.99,,0,20
stringsearch_fixed,board,4,ok,3,4,976,46.7,27827972.9,,5,20
stringsearch_fixed,board,5,ok,3,4,976,31.61,18658031.96,,4,20
stringsearch_fixed,board,6,ok,3,4,976,16.23,10312502.63,,1,20
stringsearch_fixed,board,7,ok,3,4,976,24.93,20317045.48,,6,20
stringsearch_fixed,board,8,ok,3,4,976,22.85,1524703.45,,0,20
stringsearch_fixed,board,9,ok,3,4,976,24.31,7895943.89,,2,20
stringsearch_fixed,board,10,ok,3,4,976,5.73,863164.99,,0,20
