benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_recovery_boots,result
stringsearch_fixed,board,1,ok,4,1,784,8.94,546300.58,,0,20
stringsearch_fixed,board,2,ok,4,1,784,17.22,4252774.74,,0,20
stringsearch_fixed,board,3,ok,4,1,784,29.01,2238702.49,,0,20
stringsearch_fixed,board,4,ok,4,1,784,20.81,1877505.37,,0,20
stringsearch_fixed,board,5,ok,4,1,784,31.27,18369315.86,,4,20
stringsearch_fixed,board,6,ok,4,1,784,12.58,6688605.7,,1,20
stringsearch_fixed,board,7,ok,4,1,784,23.22,18591062.03,,5,20
stringsearch_fixed,board,8,ok,4,1,784,22.51,1210175.88,,0,20
stringsearch_fixed,board,9,ok,4,1,784,23.92,7571997.14,,2,20
stringsearch_fixed,board,10,ok,4,1,784,5.52,557775.62,,0,20
