benchmark,algorithm,trace,status,complete,correct,result,expected_result,runtime_wait_count,runtime_recovery_boots,execution_time_us,wait_time_us,saleae_wait_count,saleae_wait_deaths,replay_seconds,region_boundaries
aes,milp,1,ok,yes,yes,107,107,26,1,964416.81,856453.44,24,1,3.09,4
aes,milp,2,ok,yes,yes,107,107,25,0,891711.75,783747.74,24,0,3.4,4
aes,milp,3,ok,yes,yes,107,107,25,0,562560.75,454598.8,24,0,4.41,4
aes,milp,4,ok,yes,yes,107,107,27,2,6093413.74,5985450.26,24,2,8.49,4
aes,milp,5,ok,yes,yes,107,107,27,2,6203940.9,6095979.38,24,2,8.69,4
aes,milp,6,ok,yes,yes,107,107,25,0,1247256.38,1139297.34,24,0,3.08,4
aes,milp,7,ok,yes,yes,107,107,25,0,5329294.16,5221329.9,24,0,7.01,4
aes,milp,8,ok,yes,yes,107,107,29,3,5429137.3,5321176.4,24,3,8.0,4
aes,milp,9,ok,yes,yes,107,107,27,2,5868201.23,5760236.14,24,2,8.59,4
aes,milp,10,ok,yes,yes,107,107,28,3,4080716.36,3972760.4,24,3,5.79,4
aes,rockclimb,1,ok,yes,yes,107,107,186,5,13538994.58,12994161.0,180,5,15.59,16
aes,rockclimb,2,ok,yes,yes,107,107,248,4,16459168.51,15914067.82,243,4,19.09,16
aes,rockclimb,3,ok,yes,yes,107,107,426,4,15912142.59,15366781.61,421,4,19.68,16
aes,rockclimb,4,ok,yes,yes,107,107,328,0,68890982.71,68345707.16,327,0,71.42,16
aes,rockclimb,5,ok,yes,yes,107,107,251,15,48364627.96,47819298.7,235,15,50.83,16
aes,rockclimb,6,ok,yes,yes,107,107,235,4,21698220.12,21152804.62,230,4,23.53,16
aes,rockclimb,7,ok,yes,yes,107,107,233,0,36863954.56,36318473.03,232,0,38.5,16
aes,rockclimb,8,ok,yes,yes,107,107,345,34,53210966.96,52665250.11,309,34,55.82,16
aes,rockclimb,9,ok,yes,yes,107,107,218,0,53347524.88,52801856.69,217,0,56.09,16
aes,rockclimb,10,ok,yes,yes,107,107,231,36,47322340.2,46776713.99,194,36,49.1,16
aes,schematic,1,ok,yes,yes,107,107,459,14,35292946.51,33991752.31,444,14,37.38,11
aes,schematic,2,ok,yes,yes,107,107,554,10,40871922.74,39570641.08,543,10,43.49,11
aes,schematic,3,ok,yes,yes,107,107,768,8,32145478.36,30843862.12,759,8,36.08,11
aes,schematic,4,ok,yes,yes,107,107,615,0,146721235.87,145419869.69,614,0,149.19,11
aes,schematic,5,ok,yes,yes,107,107,585,38,117822809.51,116521511.34,546,38,120.32,11
aes,schematic,6,ok,yes,yes,107,107,542,11,51114992.11,49813779.35,530,11,52.91,11
aes,schematic,7,ok,yes,yes,107,107,536,0,88632043.04,87330845.2,535,0,90.33,11
aes,schematic,8,ok,yes,yes,107,107,725,81,125572776.22,124271311.56,642,81,128.1,11
aes,schematic,9,ok,yes,yes,107,107,526,12,123369881.89,122068728.59,513,12,126.08,11
aes,schematic,10,ok,yes,yes,107,107,549,84,110471177.57,109170050.25,464,84,112.11,11
aes,schematicO3,1,ok,yes,yes,107,107,56,1,3397343.34,3271847.34,54,1,5.51,2
