benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
activity_recognition,board,1,ok,3,41,631,2.21,144562.03,,11,0,64
activity_recognition,board,2,ok,3,41,631,3.18,633370.31,,13,0,64
activity_recognition,board,3,ok,3,41,631,4.03,168003.87,,12,0,64
activity_recognition,board,4,ok,3,41,631,5.9,3385885.05,,12,0,64
activity_recognition,board,5,ok,3,41,631,4.48,1897277.26,,13,0,64
activity_recognition,board,6,ok,3,41,631,2.88,1050029.65,,14,0,64
activity_recognition,board,7,ok,3,41,631,3.72,2052942.07,,14,0,64
activity_recognition,board,8,ok,3,41,631,3.53,911209.38,,16,0,64
activity_recognition,board,9,ok,3,41,631,5.31,2498077.75,,13,1,64
activity_recognition,board,10,ok,3,41,631,1.83,144732.2,,11,0,64
