benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
aes,board,1,ok,5,205,448,2.12,92283.2,,7,0,107
aes,board,2,ok,5,205,448,3.01,423877.43,,7,0,107
aes,board,3,ok,5,205,448,3.99,116850.06,,7,0,107
aes,board,4,ok,5,205,448,3.31,828961.69,,7,0,107
aes,board,5,ok,5,205,448,2.71,104372.42,,7,0,107
aes,board,6,ok,5,205,448,2.42,657129.99,,6,0,107
aes,board,7,ok,5,205,448,3.6,1857253.92,,7,0,107
aes,board,8,ok,5,205,448,3.49,851185.52,,8,0,107
aes,board,9,ok,5,205,448,3.62,888272.47,,7,0,107
aes,board,10,ok,5,205,448,1.81,92233.07,,7,0,107
