benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
bitcount,board,1,ok,11,405,767,2.08,105663.44,,8,0,14121
bitcount,board,2,ok,11,405,767,3.05,556683.03,,10,0,14121
bitcount,board,3,ok,11,405,767,4.07,130087.2,,8,0,14121
bitcount,board,4,ok,11,405,767,3.95,1450655.18,,8,0,14121
bitcount,board,5,ok,11,405,767,4.39,1842368.97,,9,0,14121
bitcount,board,6,ok,11,405,767,2.52,703886.38,,10,0,14121
bitcount,board,7,ok,11,405,767,3.73,2015269.82,,9,0,14121
bitcount,board,8,ok,11,405,767,3.48,873612.04,,12,0,14121
bitcount,board,9,ok,11,405,767,3.69,901134.13,,8,0,14121
bitcount,board,10,ok,11,405,767,1.91,105829.06,,8,0,14121
