benchmark,capacitor,trace,status,region_boundaries,compilation_time_ms,profiling_time_ms,replay_seconds,execution_time_us,runtime_region_boundary_calls,runtime_wait_count,runtime_recovery_boots,result
chacha20,board,1,ok,0,0,554,2.06,1857.4,,1,0,97
chacha20,board,2,ok,0,0,554,2.51,1857.55,,1,0,97
chacha20,board,3,ok,0,0,554,3.9,1857.4,,1,0,97
chacha20,board,4,ok,0,0,554,2.51,1857.41,,1,0,97
chacha20,board,5,ok,0,0,554,2.58,1857.36,,1,0,97
chacha20,board,6,ok,0,0,554,1.84,1857.42,,1,0,97
chacha20,board,7,ok,0,0,554,1.75,1857.47,,1,0,97
chacha20,board,8,ok,0,0,554,2.63,1857.5,,2,0,97
chacha20,board,9,ok,0,0,554,2.79,1857.43,,1,0,97
chacha20,board,10,ok,0,0,554,1.74,1857.55,,1,0,97
